total,l1,l2,l3,l1r
852,4,11,5,0
853,4,11,5,0
854,4,11,5,0
855,4,11,5,0
856,4,11,5,0
857,4,11,5,0
858,4,11,5,0
859,4,11,5,0
860,4,11,5,0
861,4,11,5,0
862,4,11,5,0
863,4,11,5,0
864,4,11,5,0
865,4,11,5,0
866,4,11,5,0
867,4,11,5,0
868,4,11,5,0
869,4,11,5,0
870,4,11,5,0
871,4,11,5,0
872,4,11,5,0
873,4,11,5,0
874,4,11,5,0
875,4,11,5,0
876,4,11,5,0
877,4,11,5,0
878,4,11,5,0
879,4,11,5,0
880,4,11,5,0
881,4,11,5,0
882,4,11,5,0
883,4,11,5,0
884,4,11,5,0
885,4,11,5,0
886,4,11,5,0
887,4,11,5,0
888,4,11,5,0
889,4,11,5,0
890,4,11,5,0
891,4,11,5,0
892,4,11,5,0
893,4,11,5,0
894,4,11,5,0
895,4,11,5,0
896,4,11,5,0
897,4,11,5,0
898,4,11,5,0
899,4,11,5,0
900,4,11,5,0
901,4,11,5,0
902,4,11,4,0
903,4,11,4,0
904,4,11,4,0
905,4,11,4,0
906,4,11,4,0
907,4,11,4,0
908,4,11,4,0
909,4,11,4,0
910,4,11,4,0
911,4,11,4,0
912,4,11,4,0
913,4,11,4,0
914,4,11,4,0
915,4,11,4,0
916,4,11,4,0
917,4,11,4,0
918,4,11,4,0
919,4,11,4,0
920,4,11,4,0
921,4,11,4,0
922,4,11,4,0
923,4,11,4,0
924,4,11,4,0
925,4,11,4,0
926,4,11,4,0
927,4,11,4,0
928,4,11,4,0
929,4,11,4,0
930,4,11,4,0
931,4,11,4,0
932,4,11,4,0
933,4,11,4,0
934,4,11,4,0
935,4,11,4,0
936,4,11,4,0
937,4,11,4,0
938,4,11,4,0
939,4,11,4,0
940,4,11,4,0
941,4,11,4,0
942,4,11,4,0
943,4,11,4,0
944,4,11,4,0
945,4,11,4,0
946,4,11,4,0
947,4,11,4,0
948,4,11,4,0
949,4,11,4,0
950,4,11,4,0
951,4,11,4,0
952,4,11,4,0
953,4,11,4,0
954,4,11,4,0
955,4,11,4,0
956,4,11,4,0
957,4,11,4,0
958,4,11,4,0
959,4,11,4,0
960,4,11,4,0
961,4,11,4,0
962,4,11,4,0
963,4,11,4,0
964,4,11,4,0
965,4,11,4,0
966,4,11,4,0
967,4,11,4,0
968,4,11,4,0
969,4,11,4,0
970,4,11,4,0
971,4,11,4,0
972,4,11,4,0
973,4,11,4,0
974,4,11,4,0
975,4,11,4,0
976,4,11,4,0
977,4,11,4,0
978,4,11,4,0
979,4,11,4,0
980,4,11,4,0
981,4,11,4,0
982,4,11,4,0
983,4,11,4,0
984,4,11,4,0
985,4,11,4,0
986,4,11,4,0
987,4,11,4,0
988,4,11,4,0
989,4,11,4,0
990,4,11,4,0
991,4,11,4,0
992,4,11,4,0
993,4,11,4,0
994,4,11,4,0
995,4,11,4,0
996,4,11,4,0
997,4,11,4,0
998,4,11,4,0
999,4,11,4,0
1000,4,11,4,0
1001,4,11,4,0
1002,4,11,4,0
1003,4,11,4,0
1004,4,11,4,0
1005,4,11,4,0
1006,4,11,4,0
1007,4,11,4,0
1008,4,11,4,0
1009,4,11,4,0
1010,4,11,4,0
1011,4,11,4,0
1012,4,11,4,0
1013,4,11,4,0
1014,4,11,4,0
1015,4,11,4,0
1016,4,11,4,0
1017,4,11,4,0
1018,4,11,4,0
1019,4,11,4,0
1020,4,11,4,0
1021,4,11,4,0
1022,4,11,4,0
1023,4,11,4,0
1024,4,11,4,0
1025,4,11,4,0
1026,4,11,4,0
1027,4,11,4,0
1028,4,11,4,0
1029,4,11,4,0
1030,4,11,4,0
1031,4,11,4,0
1032,4,11,4,0
1033,4,11,4,0
1034,4,11,4,0
1035,4,11,4,0
1036,4,11,4,0
1037,4,11,4,0
1038,4,11,4,0
1039,4,11,4,0
1040,4,11,4,0
1041,4,11,4,0
1042,4,11,4,0
1043,4,11,4,0
1044,4,11,4,0
1045,4,11,4,0
1046,4,11,4,0
1047,4,11,4,0
1048,4,11,4,0
1049,4,11,4,0
1050,4,11,4,0
1051,4,11,4,0
1052,4,11,4,0
1053,4,11,4,0
1054,4,11,4,0
1055,4,11,4,0
1056,4,11,4,0
1057,4,11,4,0
1058,4,11,4,0
1059,4,11,4,0
1060,4,11,4,0
1061,4,11,4,0
1062,4,11,4,0
1063,4,11,4,0
1064,4,11,4,0
1065,4,11,4,0
1066,4,11,4,0
1067,4,11,4,0
1068,4,11,4,0
1069,4,11,4,0
1070,4,11,4,0
1071,4,11,4,0
1072,4,11,4,0
1073,4,11,4,0
1074,4,11,4,0
1075,4,11,4,0
1076,4,11,4,0
1077,4,11,4,0
1078,4,11,4,0
1079,4,11,4,0
1080,4,11,4,0
1081,4,11,4,0
1082,4,11,4,0
1083,4,11,4,0
1084,4,11,4,0
1085,4,11,4,0
1086,4,11,4,0
1087,4,11,4,0
1088,4,11,4,0
1089,4,11,4,0
1090,4,11,4,0
1091,4,11,4,0
1092,4,11,4,0
1093,4,11,4,0
1094,4,11,4,0
1095,4,11,4,0
1096,4,11,4,0
1097,4,11,4,0
1098,4,11,4,0
1099,4,11,4,0
1100,4,11,4,0
1101,4,11,4,0
1102,4,10,6,0
