total,l1,l2,l3,l1r
865,6,10,5,0
866,6,10,5,0
867,6,10,5,0
868,6,10,5,0
869,6,10,5,0
870,6,10,5,0
871,6,10,5,0
872,6,10,5,0
873,6,10,5,0
874,6,10,5,0
875,6,10,5,0
876,6,10,5,0
877,6,10,5,0
878,6,10,5,0
879,6,10,5,0
880,6,10,5,0
881,6,10,5,0
882,6,10,5,0
883,6,10,5,0
884,6,10,5,0
885,6,10,5,0
886,6,10,5,0
887,6,10,5,0
888,6,10,5,0
889,6,10,5,0
890,6,10,5,0
891,6,10,5,0
892,6,10,5,0
893,6,10,5,0
894,6,10,5,0
895,6,10,5,0
896,6,10,5,0
897,6,10,5,0
898,6,10,5,0
899,6,10,5,0
900,6,10,5,0
901,6,10,5,0
902,6,10,5,0
903,6,10,5,0
904,6,10,5,0
905,6,10,5,0
906,6,10,5,0
907,6,10,5,0
908,6,10,5,0
909,6,10,5,0
910,6,10,5,0
911,6,10,5,0
912,6,10,5,0
913,6,10,5,0
914,6,10,5,0
915,6,10,5,0
916,6,10,5,0
917,6,10,5,0
918,6,10,5,0
919,6,10,5,0
920,6,10,5,0
921,6,10,5,0
922,6,10,5,0
923,6,10,5,0
924,6,10,5,0
925,6,10,5,0
926,6,10,5,0
927,6,10,5,0
928,6,10,5,0
929,6,10,5,0
930,6,10,5,0
931,6,10,5,0
932,6,10,5,0
933,6,10,5,0
934,6,10,5,0
935,6,10,5,0
936,6,10,5,0
937,6,10,5,0
938,6,10,5,0
939,6,10,5,0
940,6,10,5,0
941,6,10,5,0
942,6,10,5,0
943,6,10,5,0
944,6,10,5,0
945,6,10,5,0
946,6,10,5,0
947,6,10,5,0
948,6,10,5,0
949,6,10,5,0
950,6,10,5,0
951,6,10,5,0
952,6,10,5,0
953,6,10,5,0
954,6,10,5,0
955,6,10,5,0
956,6,10,5,0
957,6,10,5,0
958,6,10,5,0
959,6,10,5,0
960,6,10,5,0
961,6,10,5,0
962,6,10,5,0
963,6,10,5,0
964,6,10,5,0
965,6,10,5,0
966,6,10,5,0
967,6,10,5,0
968,6,10,5,0
969,6,10,5,0
970,6,10,5,0
971,6,10,5,0
972,6,10,5,0
973,6,10,5,0
974,6,10,5,0
975,6,10,5,0
976,6,10,5,0
977,6,10,5,0
978,6,10,5,0
979,6,10,5,0
980,6,10,5,0
981,6,10,5,0
982,6,10,5,0
983,6,10,5,0
984,6,10,5,0
985,6,10,5,0
986,6,10,5,0
987,6,10,5,0
988,6,10,5,0
989,6,10,5,0
990,6,10,5,0
991,6,10,5,0
992,6,10,5,0
993,6,10,5,0
994,6,10,5,0
995,6,10,5,0
996,6,10,5,0
997,6,10,5,0
998,6,10,5,0
999,6,10,5,0
1000,6,10,5,0
1001,6,10,5,0
1002,6,10,5,0
1003,6,10,5,0
1004,6,10,5,0
1005,6,10,5,0
1006,6,10,5,0
1007,6,10,5,0
1008,6,10,5,0
1009,6,10,5,0
1010,6,10,5,0
1011,6,10,5,0
1012,6,10,5,0
1013,6,10,5,0
1014,6,10,5,0
1015,6,10,5,0
1016,6,10,5,0
1017,6,10,5,0
1018,6,10,5,0
1019,6,10,5,0
1020,6,10,5,0
1021,6,10,5,0
1022,6,10,5,0
1023,6,10,5,0
1024,6,10,5,0
1025,6,10,5,0
1026,6,10,5,0
1027,6,10,5,0
1028,6,10,5,0
1029,6,10,5,0
1030,6,10,5,0
1031,6,10,5,0
1032,6,10,5,0
1033,6,10,5,0
1034,6,10,5,0
1035,6,10,5,0
1036,6,10,5,0
1037,6,10,5,0
1038,6,10,5,0
1039,6,10,5,0
1040,6,10,5,0
1041,6,10,5,0
1042,6,10,5,0
1043,6,10,5,0
1044,6,10,5,0
1045,6,10,5,0
1046,6,10,5,0
1047,6,10,5,0
1048,6,10,5,0
1049,6,10,5,0
1050,6,10,5,0
1051,6,10,5,0
1052,6,10,5,0
1053,6,10,5,0
1054,6,10,5,0
1055,6,10,5,0
1056,6,10,5,0
1057,6,10,5,0
1058,6,10,5,0
1059,6,10,5,0
1060,6,10,5,0
1061,6,10,5,0
1062,6,10,5,0
1063,6,10,5,0
1064,6,10,5,0
1065,6,10,5,0
1066,6,10,5,0
1067,6,10,5,0
1068,6,10,5,0
1069,6,10,5,0
1070,6,10,5,0
1071,6,10,5,0
1072,6,10,5,0
1073,6,10,5,0
1074,6,10,5,0
1075,6,10,5,0
1076,6,10,5,0
1077,6,10,5,0
1078,6,10,5,0
1079,6,10,5,0
1080,6,10,5,0
1081,6,10,5,0
1082,6,10,5,0
1083,6,10,5,0
1084,6,10,5,0
1085,6,10,5,0
1086,6,10,5,0
1087,6,10,5,0
1088,6,10,5,0
1089,6,10,5,0
1090,6,10,5,0
1091,6,10,5,0
1092,6,10,5,0
1093,6,10,5,0
1094,6,10,5,0
1095,6,10,5,0
1096,6,10,5,0
1097,6,10,5,0
1098,6,10,5,0
1099,6,10,5,0
1100,6,10,5,0
1101,6,10,5,0
1102,6,10,5,0
1103,6,10,5,0
1104,6,10,5,0
1105,6,10,5,0
1106,6,10,5,0
1107,6,10,5,0
1108,6,10,5,0
1109,6,10,5,0
1110,6,10,5,0
1111,6,10,5,0
1112,6,10,5,0
1113,6,10,5,0
1114,6,10,5,0
1115,6,10,5,0
1116,6,10,5,0
1117,6,10,5,0
1118,6,10,5,0
1119,6,10,5,0
1120,6,10,5,0
1121,6,10,5,0
1122,6,10,5,0
1123,6,10,5,0
1124,6,10,5,0
1125,6,10,5,0
1126,6,10,5,0
1127,6,10,5,0
1128,6,10,5,0
1129,6,10,5,0
1130,6,10,5,0
1131,6,10,5,0
1132,6,10,5,0
1133,6,10,5,0
1134,6,10,5,0
1135,6,10,5,0
1136,6,10,5,0
1137,6,10,5,0
1138,6,10,5,0
1139,6,10,5,0
1140,6,10,5,0
1141,6,10,5,0
1142,6,10,5,0
1143,6,10,5,0
1144,6,10,5,0
1145,6,10,5,0
1146,6,10,5,0
1147,6,10,5,0
1148,6,10,5,0
1149,6,10,5,0
1150,6,10,5,0
1151,6,10,5,0
1152,6,10,5,0
1153,6,10,5,0
1154,6,10,5,0
1155,6,10,5,0
1156,6,10,5,0
1157,6,10,5,0
1158,6,10,5,0
1159,6,10,5,0
1160,6,10,5,0
1161,6,10,5,0
1162,6,10,5,0
1163,6,10,5,0
1164,6,10,5,0
1165,6,10,5,0
1166,6,10,5,0
1167,6,10,5,0
1168,6,10,5,0
1169,6,10,5,0
1170,6,10,5,0
1171,6,10,5,0
1172,6,10,5,0
1173,6,10,5,0
1174,6,10,5,0
1175,6,10,5,0
1176,6,10,5,0
1177,6,10,5,0
1178,6,10,5,0
1179,6,10,5,0
1180,6,10,5,0
1181,6,10,5,0
1182,6,10,5,0
1183,6,10,5,0
