total,l1,l2,l3,l2r
1009,0,12,14,3
1010,0,12,14,3
1011,0,12,14,3
1012,0,12,14,3
1013,0,12,14,3
1014,0,12,14,3
1015,0,12,14,3
1016,0,12,14,3
1017,0,12,14,3
1018,0,12,14,3
1019,0,12,14,3
1020,0,12,14,3
1021,0,12,14,3
1022,0,12,14,3
1023,0,12,14,3
1024,0,12,14,3
1025,0,12,14,3
1026,0,12,14,3
1027,0,12,14,3
1028,0,12,14,3
1029,0,12,14,3
1030,0,12,14,3
1031,0,12,14,3
1032,0,12,14,3
1033,0,12,14,3
1034,0,12,14,3
1035,0,12,14,3
1036,0,12,14,3
1037,0,12,14,3
1038,0,12,14,3
1039,0,12,14,3
1040,0,12,14,3
1041,0,12,14,3
1042,0,12,14,3
1043,0,12,14,3
1044,0,12,14,3
1045,0,12,14,3
1046,0,12,14,3
1047,0,12,14,3
1048,0,12,14,3
1049,0,12,14,3
1050,0,12,14,3
1051,0,12,14,3
1052,0,12,14,3
1053,0,12,14,3
1054,0,12,14,3
1055,0,12,14,3
1056,0,12,14,3
1057,0,12,14,3
1058,0,12,14,3
1059,0,12,14,3
1060,0,12,14,3
1061,0,12,14,3
1062,0,12,14,3
1063,0,12,14,3
1064,0,12,14,3
1065,0,12,14,3
1066,0,12,14,3
1067,0,12,14,3
1068,0,12,14,3
1069,0,12,14,3
1070,0,12,14,3
1071,0,12,14,3
1072,0,12,14,3
1073,0,12,14,3
1074,0,12,14,3
1075,0,12,14,3
1076,0,12,14,3
1077,0,12,14,3
1078,0,12,14,3
1079,0,12,14,3
1080,0,12,14,3
1081,0,12,14,3
1082,0,12,14,3
1083,0,12,14,3
1084,0,12,14,3
1085,0,12,14,3
1086,0,12,14,3
1087,0,12,14,3
1088,0,12,14,3
1089,0,12,14,3
1090,0,12,14,3
1091,0,12,14,3
1092,0,12,14,3
1093,0,12,14,3
1094,0,12,14,3
1095,0,12,14,3
1096,0,12,14,3
1097,0,12,14,3
1098,0,12,14,3
1099,0,12,14,3
1100,0,12,14,3
1101,0,12,14,3
1102,0,12,14,3
1103,0,12,14,3
1104,0,12,14,3
1105,0,12,14,3
1106,0,12,14,3
1107,0,12,14,3
1108,0,12,14,3
1109,0,12,14,3
1110,0,12,14,3
1111,0,12,14,3
1112,0,12,14,3
1113,0,12,14,3
1114,0,12,14,3
1115,0,12,14,3
1116,0,12,14,3
1117,0,12,14,3
1118,0,12,14,3
1119,0,12,14,3
1120,0,12,14,3
1121,0,12,14,3
1122,0,12,14,3
1123,0,12,14,3
1124,0,12,14,3
1125,0,12,14,3
1126,0,12,14,3
1127,0,12,14,3
1128,0,12,14,3
1129,0,12,14,3
1130,0,12,14,3
1131,0,12,14,3
1132,0,12,14,3
1133,0,12,14,3
1134,0,12,14,3
1135,0,12,14,3
1136,0,12,14,3
1137,0,12,14,3
1138,0,12,14,3
1139,0,12,14,3
1140,0,12,14,3
1141,0,12,14,3
1142,0,12,14,3
1143,0,12,14,3
1144,0,12,14,3
1145,0,12,14,3
1146,0,12,14,3
1147,0,12,14,3
1148,0,12,14,3
1149,0,12,14,3
1150,0,12,14,3
1151,0,12,14,3
1152,0,12,14,3
1153,0,12,14,3
1154,0,12,14,3
1155,0,12,14,3
1156,0,12,14,3
1157,0,12,14,3
1158,0,12,14,3
1159,0,12,14,3
1160,0,12,14,3
1161,0,12,14,3
1162,0,12,14,3
1163,0,12,14,3
1164,0,12,14,3
1165,0,12,14,3
1166,0,12,14,3
1167,0,12,14,3
1168,0,12,14,3
1169,0,12,14,3
1170,0,12,14,3
1171,0,12,14,3
1172,0,12,14,3
1173,0,12,14,3
1174,0,12,14,3
1175,0,12,14,3
1176,0,12,14,3
1177,0,12,14,3
1178,0,12,14,3
1179,0,12,14,3
1180,0,12,14,3
1181,0,12,14,3
1182,0,12,14,3
1183,0,12,14,3
1184,0,12,14,3
1185,0,12,14,3
1186,0,12,14,3
1187,0,12,14,3
1188,0,12,14,3
1189,0,12,14,3
1190,0,12,14,3
1191,0,12,14,3
1192,0,12,14,3
1193,0,12,14,3
1194,0,12,14,3
1195,0,12,14,3
1196,0,12,14,3
1197,0,12,14,3
1198,0,12,14,3
1199,0,12,14,3
1200,0,12,14,3
1201,0,12,14,3
1202,0,12,14,3
1203,0,12,14,3
1204,0,12,14,3
1205,0,12,14,3
1206,0,12,14,3
1207,0,12,14,3
1208,0,12,14,3
1209,0,12,14,3
1210,0,12,14,3
1211,0,12,14,3
1212,0,12,14,3
1213,0,12,14,3
1214,0,12,14,3
1215,0,12,14,3
1216,0,12,14,3
1217,0,12,14,3
1218,0,12,14,3
1219,0,12,14,3
1220,0,12,14,3
1221,0,12,14,3
1222,0,12,14,3
1223,0,12,14,3
1224,0,12,14,3
1225,0,12,14,3
1226,0,12,14,3
1227,0,12,14,3
1228,0,12,14,3
1229,0,12,14,3
1230,0,12,14,3
1231,0,12,14,3
1232,0,12,14,3
1233,0,12,14,3
1234,0,12,14,3
1235,0,12,14,3
1236,0,12,14,3
1237,0,12,14,3
1238,0,12,14,3
1239,0,12,14,3
1240,0,12,14,3
1241,0,12,14,3
1242,0,12,14,3
1243,0,12,14,3
1244,0,12,14,3
1245,0,12,14,3
1246,0,12,14,3
1247,0,12,14,3
1248,0,12,14,3
1249,0,12,14,3
1250,0,12,14,3
1251,0,12,14,3
1252,0,12,14,3
1253,0,12,14,3
1254,0,12,14,3
1255,0,12,14,3
1256,0,12,14,3
1257,0,12,14,3
1258,0,12,14,3
1259,0,12,14,3
1260,0,12,14,3
1261,0,12,14,3
1262,0,12,14,3
1263,0,12,14,3
1264,0,12,14,3
1265,0,12,14,3
1266,0,12,14,3
1267,0,12,14,3
1268,0,12,14,3
1269,0,12,14,3
1270,0,12,14,3
1271,0,12,14,3
1272,0,12,14,3
1273,0,12,14,3
1274,0,12,14,3
1275,0,12,14,3
1276,0,12,14,3
1277,0,12,14,3
1278,0,12,14,3
1279,0,12,14,3
1280,0,12,14,3
1281,0,12,14,3
1282,0,12,14,3
1283,0,12,14,3
1284,0,12,14,3
1285,0,12,14,3
1286,0,12,14,3
1287,0,12,14,3
1288,0,12,14,3
1289,0,12,14,3
1290,0,12,14,3
1291,0,12,14,3
1292,0,12,14,3
1293,0,12,14,3
1294,0,12,14,3
1295,0,12,14,3
1296,0,12,14,3
1297,0,12,14,3
1298,0,12,14,3
1299,0,12,14,3
1300,0,12,14,3
1301,0,12,14,3
1302,0,12,14,3
1303,0,12,14,3
1304,0,12,14,3
1305,0,12,14,3
1306,0,12,14,3
1307,0,12,14,3
1308,0,12,14,3
1309,0,12,14,3
1310,0,12,14,3
1311,0,12,14,3
1312,0,12,14,3
1313,0,12,14,3
1314,0,12,14,3
1315,0,12,14,3
1316,0,12,14,3
1317,0,12,14,3
1318,0,12,14,3
1319,0,12,14,3
1320,0,12,14,3
1321,0,12,14,3
1322,0,12,14,3
1323,0,12,14,3
1324,0,12,14,3
1325,0,12,14,3
1326,0,12,14,3
1327,0,12,14,3
1328,0,12,14,3
1329,0,12,14,3
1330,0,12,14,3
1331,0,12,14,3
1332,0,12,14,3
1333,0,12,14,3
1334,0,12,14,3
1335,0,12,14,3
1336,0,12,14,3
1337,0,12,14,3
1338,0,12,14,3
1339,0,12,14,3
1340,0,12,14,3
1341,0,12,14,3
1342,0,12,14,3
1343,0,12,14,3
1344,0,12,14,3
1345,0,12,14,3
1346,0,12,14,3
1347,0,12,14,3
1348,0,12,14,3
1349,0,12,14,3
1350,0,12,14,3
1351,0,12,14,3
1352,0,12,14,3
1353,0,12,14,3
1354,0,12,14,3
1355,0,12,14,3
1356,0,12,14,3
1357,0,12,14,3
1358,0,12,14,3
